Page Title,Page Views,Page Path
AVEO Table + Bar,138,/listing/aveo-table-+-bar/10/
Ribbon Cutting: The White Rooster,134,/event/ribbon-cutting:-the-white-rooster/740/
Blog,133,/blog/
Aloha Stacks,133,/listing/aloha-stacks/124/
Romance by the Coast: Valentine's Day in Dana Point,131,/includes/plugins/nav/preview_civs/
Plan Your Visit,131,/plan-your-visit/
Date Day or Night in Dana Point,129,/blog/post/date-day-or-night-in-dana-point/
Ocean Institute's Maritime Festival in Dana Point 2026,129,/includes/plugins/nav/preview_civs/
Gallery Dana Bay,129,/listing/gallery-dana-bay/306/
Dana Point Resorts | Book Your Stay,129,/lodging/dana-point-resorts/
Sitemap,129,/sitemap/
Dana Point Is All About Family Fun,128,/blog/post/dana-point-is-all-about-family-fun/
Premier Southern California Golf | Visit Dana Point,122,/things-to-do/onshore-activities/golfing/
Visit Dana Point | The Best Beaches in Southern California,121,/includes/plugins/nav/preview_civs/
Youth Sailing Program-Dana Point Yacht Club,118,/event/youth-sailing-program-dana-point-yacht-club/781/
Ocean Institute's Maritime Festival in Dana Point 2026,117,/blog/post/dana-points-maritime-festival-2026/
"Best Year-Round Whale Watching | Dana Point, California",117,/includes/plugins/nav/preview_civs/
Killer Dana Surf Shop,116,/listing/killer-dana-surf-shop/77/
retreat to dana point,115,/blog/post/3-day-reset-in-dana-point/
"""Family Getaway to Dana Point""",114,/blog/post/family-getaway-to-dana-point/
Request for Proposal - Visit Dana Point,114,/request-for-proposal/
Monarch Beach Golf Links,113,/listing/monarch-beach-golf-links/95/
Orange County Guide | Southern California from Dana Point,112,/orange-county-california/
Coffee Importers Scoop Deck & Deli,111,/listing/coffee-importers-scoop-deck-&-deli/37/
Surfing Heritage & Cultural Center,111,/listing/surfing-heritage-&-cultural-center/234/
Sawdust Art Festival,110,/listing/sawdust-art-festival/266/
404,109,/activities-and-things-to-do/dana-point-lantern-district/
Dana Wharf Sunset Wine Cruise,109,/event/dana-wharf-sunset-wine-cruise/695/
404,109,/event/holidays-to-go-christmas/
Jimmy's Famous American Tavern,107,/listing/jimmys-famous-american-tavern/74/
Ohana Festival 2026,105,/event/ohana-festival-2026/758/
Craft House,105,/listing/craft-house/39/
Kawamanta Seafood,105,/listing/kawamanta-seafood/197/
Wyland’s Whale and Dolphin Adventure Art Lessons in the Wild,104,/event/wyland’s-whale-and-dolphin-adventure-art-lessons-in-the-wild/689/
Pedego Electric Bikes,104,/listing/pedego-electric-bikes/180/
Listing,103,/listing/strands-beach/48/
Listing,102,/listing/baby-beach/11/
"Onshore Activities in Dana Point | Shopping, Spas & Trails",102,/things-to-do/onshore-activities/
Luxe Restaurant & Martini Bar,100,/listing/luxe-restaurant-&-martini-bar/86/
Cars & Coffee on the Wharf,99,/event/cars-&-coffee-on-the-wharf/736/
Coastal Kitchen,98,/listing/coastal-kitchen/36/
Why Visit Dana Point? | Visit Dana Point,97,/includes/plugins/nav/preview_civs/
Truly Pizza,97,/listing/truly-pizza/330/
Free Things to Do in Dana Point | Budget Travel Activities,96,/blog/post/10-free-things-to-do-in-dana-point/
"Stars, Stripes and Sounds Festival",96,/event/stars-stripes-and-sounds-festival/792/
The District Salon,96,/listing/the-district-salon/188/
The Top 6 Things To Do In Dana Point,94,/blog/post/the-top-6-things-to-do-in-dana-point/
Glasspar Seafood,94,/listing/glasspar-seafood/262/
Luciana's Ristorante,94,/listing/lucianas-ristorante/84/
Harbor & Ocean Adventure,94,/things-to-do/harbor-ocean-adventure/
Books & Blooms- Book Lovers Market,93,/event/books-&-blooms-book-lovers-market/737/
Coastal Cowgirl,93,/event/coastal-cowgirl/777/
404,93,/events/summary/
Casa Romantica Cultural Center and Gardens,91,/listing/casa-romantica-cultural-center-and-gardens/232/
Listing,88,/listing/capt-daves-dolphin-&-whale-watching-safari/29/
4th of july parking and fireworks,87,/includes/plugins/nav/preview_civs/
Jon's Fish Market,87,/listing/jons-fish-market/75/
Champagne Sunset Sail,86,/event/champagne-sunset-sail/780/
Dana Point Fishing | Dana Point Sportfishing,86,/includes/plugins/nav/preview_civs/
Board of Directors (BOD) | Visit Dana Point,85,/meet-the-team/board-meetings-agendas/
Onshore Activites,85,/things-to-do/onshore-activities/
10 Free Things to Do in Dana Point,83,/blog/post/10-free-things-to-do-in-dana-point/
It's Festival Season in Dana Point!,83,/blog/post/its-festival-season-in-dana-point/
Sea Terrace Park,83,/listing/sea-terrace-park/269/
Bar RAYA,82,/listing/bar-raya/12/
Aliso & Wood Canyons Regional Park,81,/listing/aliso-&-wood-canyons-regional-park/4/
OverVue Lounge & Deck,81,/listing/overvue-lounge-&-deck/100/
A's Burgers,80,/listing/as-burgers/7/
The White Rooster Cafe,80,/listing/the-white-rooster-cafe/335/
"Dana Point Harbor | Things to Do, Dining & Cruises",79,/blog/post/dana-point-harbor-is-worth-a-visit/
Dana Point Neighbors | Nearby Cities & Day Trip Ideas,79,/blog/post/dana-point-neighbors-sights-and-stops/
Dana Point's Surfing Industry Beginnings,79,/blog/post/dana-points-surfing-industry-beginnings/
404,78,/activities-and-things-to-do/whale-watching/
Listing,78,/listing/dana-point-headlands-conservation-area/298/
Dana Point Beaches | Best Southern California Shorelines,77,/includes/plugins/nav/preview_civs/
Bruster's Ice Cream,77,/listing/brusters-ice-cream/291/
"""Dana Point: Southern California's Dreamy Low-Key Beach Town""",76,/blog/post/dana-point-southern-californias-dreamy-low-key-beach-town/
Project Social,76,/listing/project-social/272/
"Marine Life in Dana Point | Whales, Dolphins & Tide Pools",76,/things-to-do/marine-life-in-dana-point/
earth day,75,/includes/plugins/nav/preview_civs/
The Point Restaurant & Bar,75,/listing/the-point-restaurant-&-bar/185/
Raya Valentine's Dinner,74,/event/raya-valentines-dinner/729/
Best Things to Do in Dana Point | Top Attractions Guide,71,/blog/post/the-top-6-things-to-do-in-dana-point/
Raya Mother's Day Tea,71,/event/raya-mothers-day-tea/745/
Festival of Arts & Pageant of the Masters,71,/listing/festival-of-arts-&-pageant-of-the-masters/263/
Listing,71,/listing/laguna-cliffs-marriott-resort-&-spa/79/
Olamendi's Mexican Restaurant,71,/listing/olamendis-mexican-restaurant/169/
Dana Point Hotels | All Places to Stay,70,/includes/plugins/nav/preview_civs/
Listing,70,/listing/ocean-institute/99/
Best Coffee Shops in Dana Point | Cafés & Local Favorites,69,/blog/post/best-coffee-shops-dana-point/
The Beachfront Inn & Suites at Dana Point,69,/listing/the-beachfront-inn-&-suites-at-dana-point/326/
"Chit, Chaat & Chai",68,/event/chit-chaat-&-chai/742/
Taco Tuesday,68,/event/taco-tuesday/778/
Outlets at San Clemente,68,/listing/outlets-at-san-clemente/242/
Listing,67,/includes/plugins/nav/preview_civs/
Left Coast Sportfishing,67,/listing/left-coast-sportfishing/313/
Dana Point Meeting RFPs | Events & Weddings Official,67,/request-for-proposal/
OC Restaurant Week 2026,66,/event/oc-restaurant-week-2026/750/
earth day,65,/blog/post/earth-day-in-dana-point/
Plan,63,/includes/plugins/nav/preview_civs/
Listing,63,/listing/dana-wharf-sportfishing-and-whale-watching/51/
Bourbon Steak Orange County,62,/listing/bourbon-steak-orange-county/128/
Fashion Island,62,/listing/fashion-island/240/
Get Out on The Water,61,/blog/post/get-out-on-the-water/
Spring Break in Dana Point,61,/blog/post/spring-break-in-dana-point/
Golfing in Dana Point | Scenic Courses & Coastal Fairways,61,/includes/plugins/nav/preview_civs/
Dana Point Historical Society Museum,61,/listing/dana-point-historical-society-museum/297/
Doheny Surf and Art Festival,60,/event/doheny-surf-and-art-festival/766/
Offers - Visit Dana Point,60,/includes/plugins/nav/preview_civs/
Louise Leyden Park,60,/listing/louise-leyden-park/83/
Philz Coffee,60,/listing/philz-coffee/346/
404,60,/organizer/western-surfing-association/
Art Sea,59,/listing/art-sea/208/
Salt Creek Grille Orange County,59,/listing/salt-creek-grille-orange-county/114/
Harbor Evening Wine Cruise,58,/event/harbor-evening-wine-cruise/779/
Little Folk Club,58,/event/little-folk-club/735/
Raya Fathers Day Brunch,57,/event/raya-fathers-day-brunch/756/
Dana Point Craft Beer | Local Breweries & Beer Cruises,56,/blog/post/cheers-to-beer-in-dana-point/
Listing,56,/listing/salt-creek-beach/245/
Spring in Dana Point: What to See and Do | Visit Dana Point,55,/includes/plugins/nav/preview_civs/
Business Listing Request,54,/meet-the-team/business-listing-request/
Plan Your Visit | Dana Point Know Before You Go,54,/plan-your-visit/
Cheers to BEER in Dana Point!,52,/blog/post/cheers-to-beer-in-dana-point/
404,52,/event/dana-point-harbor-holiday-lights/
"Festival of Whales in Dana Point, CA",51,/includes/plugins/nav/preview_civs/
What a Dish Café & Catering | It's All About the Cake,51,/listing/what-a-dish-café-&-catering-|-its-all-about-the-cake/154/
Dana Point Harbor is worth a visit!,50,/blog/post/dana-point-harbor-is-worth-a-visit/
Listing,50,/listing/capistrano-beach/26/
"The Ritz-Carlton Spa, Laguna Niguel",50,/listing/the-ritz-carlton-spa-laguna-niguel/141/
Cars & Coffee on the Wharf,49,/event/cars-&-coffee-on-the-wharf/722/
404,49,/events/list/
Synaptic Cycles,49,/listing/synaptic-cycles/324/
Thank You,48,/newsletter/thank-you/
All Items,47,/blog/all-items/
Fabulous Training Page,47,/includes/plugins/nav/preview_civs/
Listing,47,/listing/dana-point-harbor/42/
Gift Chateau,47,/listing/gift-chateau/58/
Le Saint Honoré,47,/listing/le-saint-honoré/340/
Turk's Restaurant & Bar,47,/listing/turks-restaurant-&-bar/148/
Valentine's Day Dinner at Salt Creek Grille,46,/event/valentines-day-dinner-at-salt-creek-grille/741/
Get on the Water | Dana Point Kayaking & Paddleboarding,46,/includes/plugins/nav/preview_civs/
Listing,46,/listing/blufftop-trail/268/
Bike Rentals - Visit Dana Point,45,/includes/plugins/nav/preview_civs/
Hobie Surf Shop,45,/listing/hobie-surf-shop/67/
iHeartYoga,45,/listing/iheartyoga/224/
4th of july,44,/includes/plugins/nav/preview_civs/
Knott's Berry Farm,44,/listing/knotts-berry-farm/251/
Monarch Beach (Adjacent to Salt Creek),44,/listing/monarch-beach-(adjacent-to-salt-creek)/385/
Proud Mary's Restaurant,44,/listing/proud-marys-restaurant/106/
Station Craft Brewery + Kitchen,44,/listing/station-craft-brewery-+-kitchen/322/
Family Fun in Dana Point | Kids Activities & Vacation Ideas,43,/blog/post/dana-point-is-all-about-family-fun/
404,43,/discover/spas/
404,43,/events/category/beach-events/map/
A Perfect Weekend in Dana Point | Coastal Itinerary & Getaway Guide,43,/includes/plugins/nav/preview_civs/
retreat to dana point,43,/includes/plugins/nav/preview_civs/
Aventura Sailing Association,43,/listing/aventura-sailing-association/9/
Dana Point Parasail,43,/listing/dana-point-parasail/277/
post,42,/includes/plugins/nav/preview_civs/
33 North,42,/listing/33-north/3/
Best Friends Art Gallery,42,/listing/best-friends-art-gallery/265/
Listing,42,/listing/the-ritz-carlton-laguna-niguel/140/
Romance by the Coast: Valentine's Day in Dana Point,41,/blog/post/romance-by-the-coast-valentines-day-in-dana-point/
404,41,/event/dana-point-farmers-market/all/
404,41,/event/ribbon-cutting:-the-white-rooster/740/
Out of Office: Make Dana Point Your Conference Room,41,/includes/plugins/nav/preview_civs/
Harbor House Cafe,41,/listing/harbor-house-cafe/63/
404,41,/organizer/dana-outrigger-canoe-club/
404,40,/discover/outdoor-recreation/
404,40,/event/oc-parks-summer-concert-series/
Raise your glass to a curated Wine Tasting.,40,/event/raise-your-glass-to-a-curated-wine-tasting/748/
404,40,/events/map/
Frisby Cellars Winery,40,/listing/frisby-cellars-winery/305/
404,40,/venue/glasspar/
The Top 6 Things To Do In Dana Point,39,/includes/plugins/nav/preview_civs/
Bon Appetit,39,/listing/bon-appetit/372/
Giana Bakery + Provisions,39,/listing/giana-bakery-+-provisions/336/
Thank You,38,/contact-us/thank-you/
aPizza Doho,38,/listing/apizza-doho/288/
404,37,/event/concerts-in-the-park-2025/2025-07-27/
Curated Cellar Wednesdays at Salt Creek Grille,37,/event/curated-cellar-wednesdays-at-salt-creek-grille/775/
Dana Point Restaurants | Dining,37,/includes/plugins/nav/preview_civs/
Dana Point's History of Authenticity,37,/includes/plugins/nav/preview_civs/
"Marine Life in Dana Point | Whales, Dolphins & Tide Pools",37,/includes/plugins/nav/preview_civs/
404,37,/restaurants-dining/scoop-deck-ice-cream-shop/
FALL in love with Dana Point!,36,/blog/post/fall-in-love-with-dana-point/
4th of July Cruises,36,/event/4th-of-july-cruises/786/
Live Music Harbor Cruise,36,/event/live-music-harbor-cruise/783/
404,36,/event/palm-tree-festival/
404,36,/event/santa-paws/2023-12-10/
404,36,/events/category/beach-events/list/
About Visit Dana Point - Visit Dana Point,36,/includes/plugins/nav/preview_civs/
Angel Beauty Haus,36,/listing/angel-beauty-haus/287/
Hennessey's Tavern,36,/listing/hennesseys-tavern/308/
Waldorf Astoria Spa,36,/listing/waldorf-astoria-spa/358/
404,35,/event/speaker-series-guardians-of-the-coast-meet-the-first-responders-who-answer-the-call/
404,35,/events/2025-07-21/
404,35,/events/tag/parade/list/
"Dana Point Blog | Travel Tips, Events & Local Inspiration",35,/includes/plugins/nav/preview_civs/
Fall in Dana Point: What to See and Do | Visit Dana Poin,35,/includes/plugins/nav/preview_civs/
Dana Point Charters Sailing Adventures,35,/listing/dana-point-charters-sailing-adventures/296/
Disneyland® Park & Disney California Adventure®,35,/listing/disneyland®-park-&-disney-california-adventure®/250/
Listing,35,/listing/waldorf-astoria-monarch-beach-resort-&-club/96/
404,35,/organizer/city-of-dana-point/
50th Annual Boat Parade of Lights,34,/event/50th-annual-boat-parade-of-lights/457/
404,34,/event/aveo-easter-breakfast-buffet/
Dana West Youth Sailing Program,34,/event/dana-west-youth-sailing-program/782/
Happy Harbor Days,34,/event/happy-harbor-days/698/
404,34,/event/western-surfing-association-surf-contest/
Winter in Dana Point: What to See and Do | Visit Dana Point,34,/includes/plugins/nav/preview_civs/
Good Choice Sushi By the Sea,34,/listing/good-choice-sushi-by-the-sea/167/
404,34,/series/dana-west-youth-sailing-camp/
404,33,/event/easter-at-monarch-bay-beach-club/
404,33,/getting-around-dana-point/
Thai Body Works,33,/listing/thai-body-works/213/
404,33,/series/maritime-festival-2/
404,32,/activities-and-things-to-do/surfing/
Dana Point Local Business Spotlight | Organic Tree Café,32,/blog/post/dana-points-local-business-spotlight-organic-tree/
404,32,/event/4th-of-july-fireworks-2025/
404,32,/event/mothers-day-brunch-blooms-at-laguna-cliffs/
Raya Mother's Day Brunch,32,/event/raya-mothers-day-brunch/747/
404,32,/event/symphony-on-the-go-2/
404,32,/event/valentines-day-at-waldorf-astorias-aveo-table-bar/2025-02-15/
404,32,/event/valentines-day-dinner-at-lanterns-edge/
Whisky & Wagyu VIII,32,/event/whisky-&-wagyu-viii/749/
Camellia Boutique,32,/listing/camellia-boutique/205/
Honda Center,32,/listing/honda-center/256/
404,31,/event/
404,31,/event/ocean-institutes-founders-day/
404,31,/events/2025-07-19/
Dana Point Is All About Family Fun,31,/includes/plugins/nav/preview_civs/
Dana Point by Season | Visit Dana Point,31,/includes/plugins/nav/preview_civs/
Bonjour Cafe & Bistro,31,/listing/bonjour-cafe-&-bistro/23/
Casanova Ristorante,31,/listing/casanova-ristorante/31/
Irvine Spectrum Center,31,/listing/irvine-spectrum-center/243/
404,31,/organizer/doheny-state-beach-foundation/
404,31,/series/concerts-in-the-park-2/
404,31,/series/visit-dana-point-board-of-directors-meeting/
404,31,/venue/raya-at-the-ritz-carlton-laguna-niguel/
Discover Self-Care & Wellness in Dana Point: Your Ultimate Coastal Escape,30,/blog/post/discover-self-care-wellness-in-dana-point/
404,30,/event/cosmic-creek-surf-festival-concert-2/
404,30,/event/doheny-surf-art-festival/
404,30,/event/holiday-caroling-at-laguna-cliffs-marriott/2025-01-11/
404,30,/event/junior-summer-sailing-program/2025-07-21/
404,30,/event/mothers-day-brunch-buffet/
Listing,30,/listing/catalina-express/165/
Coco Bloom Coffee,30,/listing/coco-bloom-coffee/367/
Dana Point Bodycentre,30,/listing/dana-point-bodycentre/214/
KAHANI,30,/listing/kahani/286/
Orange County Pearls,30,/listing/orange-county-pearls/384/
Taikun Omakase,30,/listing/taikun-omakase/350/
Dana Point Hiking and Walking Trails,29,/blog/post/dana-point-hiking-and-walking-trails/
Dana Point Local Business Spotlight | Golden Galleon Boutique,29,/blog/post/dana-points-local-business-spotlight-golden-galleon-boutique/
404,29,/event/christmas-dinner-at-the-ritz-carltons-raya/
404,29,/event/easter-breakfast-at-club-19/
404,29,/event/gourmet-gatherings-at-waldorf-astoria-chef-rob-rubba-chef-michael-rafidi/
